,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Send Offs,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:54,161,"1,389",334,3,26,37.5,167,3.44s,6,360,196,10,20,467,3,100%,5,8,84.6%,385,54,16,10,7,1,0,8,1,73%,27/37,Dragons vs Raiders,Dragons,2019
1,52%,28:04,191,"1,691",475,9,54,42.3,206,3.63s,9,389,193,15,17,415,1,83%,3,5,90.3%,317,26,8,7,4,0,1,8,2,80%,32/40,Dragons vs Raiders,Raiders,2019
