,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:59,173,"1,466",428,3,30,36.7,139,3.34s,8,408,245,58,14,355,1,78%,4,2,88.6%,311,23,17,13,10,1,7,4,73%,29/40,Rabbitohs vs Bulldogs,Rabbitohs,2018
1,48%,24:54,155,"1,404",450,2,23,40.1,145,3.39s,10,336,178,33,15,356,0,83%,4,4,88.7%,297,31,7,8,14,0,7,0,77%,27/35,Rabbitohs vs Bulldogs,Bulldogs,2018
