,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,38%,17:32,138,"1,215",439,1,13,30.4,140,6,363,206,2,20,441,1,82%,3,4,88.5%,255,23,1,10,8,83%,33/40,Bulldogs vs Cowboys,Bulldogs,2013
1,62%,28:36,141,"1,381",480,3,23,36.3,174,8,317,155,10,19,471,1,85%,4,5,93.8%,301,13,0,7,10,71%,27/38,Bulldogs vs Cowboys,Cowboys,2013
