,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,21:57,142,"1,277",479,3,20,37.6,158,15,400,233,16,21,465,5,73%,5,7,92.5%,310,13,12,7,79%,27/34,Dragons vs Sea Eagles,Dragons,2014
1,51%,22:51,147,"1,297",459,4,13,38.2,105,9,375,212,8,16,483,2,62%,2,2,87.2%,280,20,21,9,85%,29/34,Dragons vs Sea Eagles,Sea Eagles,2014
