,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,20:10,159,"1,397",498,2,17,35.8,164,3.95s,5,351,190,16,15,428,0,75%,5,1,85.9%,335,30,25,6,77%,30/39,Knights vs Roosters,Knights,2015
1,58%,27:52,166,"1,660",604,7,30,41.5,294,3.55s,14,386,203,20,20,627,3,78%,5,2,91.3%,314,17,13,9,78%,31/40,Knights vs Roosters,Roosters,2015
