,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:19,178,"1,650",380,2,32,50,183,3.19s,9,383,195,5,19,500,1,78%,8,5,84.9%,326,37,21,10,5,8,73%,24/33,Broncos vs Wests Tigers,Broncos,2019
1,51%,27:24,184,"1,554",313,2,37,45.7,164,3.4s,17,400,209,16,21,682,4,75%,6,4,89.8%,371,32,10,12,4,8,79%,27/34,Broncos vs Wests Tigers,Wests Tigers,2019
