,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,29:02,187,"1,831",654,4,42,50.9,246,3.64s,13,438,240,28,24,524,1,100%,3,12,92.7%,319,20,1,5,8,81%,29/36,Sharks vs Dragons,Sharks,2015
1,46%,24:44,154,"1,464",464,3,20,40.7,138,3.76s,3,351,189,22,17,581,0,58%,3,1,85.6%,398,42,0,25,4,81%,29/36,Sharks vs Dragons,Dragons,2015
