,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,27:34,182,"1,600",430,5,27,43.3,184,3.96s,11,388,212,41,18,434,0,100%,5,2,89.1%,286,24,0,11,10,10,7,73%,27/37,Bulldogs vs Rabbitohs,Bulldogs,2017
1,46%,23:28,148,"1,341",409,2,24,36.3,113,3.7s,8,333,183,29,17,516,1,70%,0,4,89.2%,338,27,1,14,7,12,8,70%,26/37,Bulldogs vs Rabbitohs,Rabbitohs,2017
