,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,32:05,162,"1,629",566,4,17,45.3,185,19,393,208,13,18,338,1,93%,4,4,83%,279,42,1,15,5,72%,26/36,Wests Tigers vs Dragons,Wests Tigers,2014
1,39%,20:31,154,"1,500",514,7,42,38.5,132,12,387,207,18,23,677,2,86%,2,5,87.3%,324,17,0,30,6,74%,29/39,Wests Tigers vs Dragons,Dragons,2014
