,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,32:37,208,"1,826",538,5,54,41.5,219,3.61s,12,438,228,8,23,638,1,71%,5,5,84.1%,364,35,34,7,5,0,8,86%,38/44,Warriors vs Panthers,Warriors,2019
1,50%,32:37,201,"1,784",449,3,35,47,219,3.38s,24,488,272,24,26,569,2,100%,9,9,84.6%,411,54,21,9,11,2,9,82%,31/38,Warriors vs Panthers,Panthers,2019
