,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:10,193,"1,652",547,7,39,39.3,247,20,424,216,19,27,715,100%,8,5,89.8%,292,23,2,10,5,0,90%,38/42,Broncos vs Wests Tigers,Broncos,2013
1,49%,26:07,151,"1,219",442,1,23,34.8,146,6,375,205,23,19,553,82%,1,7,83.9%,348,39,0,28,9,1,71%,25/35,Broncos vs Wests Tigers,Wests Tigers,2013
