,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Panthers vs Sharks,2019
1,78:47,Interchange - HIA Cleared,,Panthers,                   Brian To'o,                   Moses Leota,,Panthers vs Sharks,2019
2,78:37,Penalty - Hand in the Ruck,Chad Townsend,Sharks,,,,Panthers vs Sharks,2019
3,78:23,Kick Bomb,Chad Townsend,Sharks,,,,Panthers vs Sharks,2019
4,77:50,Interchange #8,,Sharks,                   Jack Williams,                   Aaron Woods,,Panthers vs Sharks,2019
5,75:32,Conversion-Missed,Shaun Johnson,Sharks,,,,Panthers vs Sharks,2019
6,74:58,Video Referee,Try,Sharks,,,,Panthers vs Sharks,2019
7,74:50,Try,Sosaia Feki,Sharks,,,26-20,Panthers vs Sharks,2019
8,74:49,Linebreak,Sosaia Feki,Sharks,,,,Panthers vs Sharks,2019
9,74:35,Linebreak,Josh Morris,Sharks,,,,Panthers vs Sharks,2019
10,74:12,Line Dropout,Dylan Edwards,Panthers,,,,Panthers vs Sharks,2019
11,74:03,Linebreak,Kurt Capewell,Sharks,,,,Panthers vs Sharks,2019
12,73:16,Error,Liam Martin,Panthers,,,,Panthers vs Sharks,2019
13,72:28,Kick Bomb,Shaun Johnson,Sharks,,,,Panthers vs Sharks,2019
14,72:08,Interchange #7,,Sharks,                   Braden Hamlin-Uele,                   Andrew Fifita,,Panthers vs Sharks,2019
15,71:44,Linebreak,Shaun Johnson,Sharks,,,,Panthers vs Sharks,2019
16,68:47,Error,Viliame Kikau,Panthers,,,,Panthers vs Sharks,2019
17,68:25,Interchange - HIA,,Panthers,                   Isaah Yeo,                   Brian To'o,,Panthers vs Sharks,2019
18,65:21,Interchange #6,,Panthers,                   Moses Leota,                   Reagan Campbell-Gillard,,Panthers vs Sharks,2019
19,65:20,Conversion-Made,Shaun Johnson,Sharks,,,26-16,Panthers vs Sharks,2019
20,64:22,Interchange #6,,Sharks,                   Kurt Capewell,                   Jack Williams,,Panthers vs Sharks,2019
21,64:04,Try,Josh Morris,Sharks,,,26-14,Panthers vs Sharks,2019
22,63:56,Linebreak,Shaun Johnson,Sharks,,,,Panthers vs Sharks,2019
23,61:19,Conversion-Made,Shaun Johnson,Sharks,,,26-10,Panthers vs Sharks,2019
24,60:45,Interchange #5,,Panthers,                   James Tamou,                   Spencer Leniu,,Panthers vs Sharks,2019
25,60:13,Try,Jack Williams,Sharks,,,26-8,Panthers vs Sharks,2019
26,60:11,Linebreak,Jack Williams,Sharks,,,,Panthers vs Sharks,2019
27,59:40,Penalty - Marker Not Square,Spencer Leniu,Panthers,,,,Panthers vs Sharks,2019
28,59:01,Error,James Fisher-Harris,Panthers,,,,Panthers vs Sharks,2019
29,58:52,Interchange #4,,Panthers,                   Viliame Kikau,                   Isaah Yeo,,Panthers vs Sharks,2019
30,58:28,Line Dropout,Shaun Johnson,Sharks,,,,Panthers vs Sharks,2019
