,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:21,172,"1,641",369,5,27,46.9,312,3.52s,4,411,255,14,17,543,3,36%,6,4,83.8%,300,35,23,12,5,1,8,74%,26/35,Sharks vs Broncos,Sharks,2019
1,51%,26:23,160,"1,437",392,5,35,39.9,146,3.32s,12,351,170,6,20,662,1,62%,6,2,90.4%,301,27,5,9,5,0,8,86%,31/36,Sharks vs Broncos,Broncos,2019
