,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,66%,33:32,188,"1,808",569,2,38,48.9,186,21,427,242,18,17,383,1,85%,4,2,82%,297,38,1,27,9,65%,24/37,Panthers vs Titans,Panthers,2013
1,34%,17:16,168,"1,597",569,5,38,41,122,15,349,179,9,19,658,2,75%,3,5,81.4%,315,38,0,34,7,79%,31/39,Panthers vs Titans,Titans,2013
