,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,23:49,154,"1,473",520,5,22,37.8,247,3.26s,7,333,167,16,18,478,1,100%,2,3,88.9%,335,29,13,8,7,0,7,2,82%,32/39,Storm vs Broncos,Storm,2018
1,52%,25:48,150,"1,394",492,4,29,38.7,139,3.44s,8,349,184,17,19,559,0,73%,5,4,91.1%,327,22,10,7,12,1,8,0,81%,29/36,Storm vs Broncos,Broncos,2018
