,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,24:30,146,"1,250",470,1,29,32.9,185,3.83s,3,357,185,28,20,585,0,94%,3,3,88.9%,361,33,1,12,15,6,0,8,0,66%,25/38,Cowboys vs Eels,Cowboys,2017
1,55%,29:57,182,"1,749",671,5,33,43.7,248,3.75s,5,404,216,28,24,528,3,38%,5,9,90%,315,29,0,6,7,8,1,6,3,82%,33/40,Cowboys vs Eels,Eels,2017
