,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,25%,11:15,115,"1,032",377,3,19,34.4,65,7,279,161,11,12,299,0,92%,0,3,2,87.3%,350,33,0,18,8,63%,19/30,Raiders vs Storm,Raiders,2013
1,75%,33:47,168,"1,734",578,9,33,41.3,218,13,428,228,19,22,586,2,91%,1,2,4,89.3%,250,19,2,11,7,93%,39/42,Raiders vs Storm,Storm,2013
