,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,30:34,167,"1,599",353,6,25,39,230,6,390,200,4,20,637,3,79%,2,2,93.1%,337,9,16,6,0,71%,29/41,Rabbitohs vs Raiders,Rabbitohs,2013
1,44%,24:01,148,"1,436",330,0,9,42.2,141,8,388,215,4,20,495,2,87%,1,8,91.6%,348,25,7,5,1,68%,23/34,Rabbitohs vs Raiders,Raiders,2013
