,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,29:34,180,"1,514",496,1,23,36.9,196,3.41s,9,396,202,11,20,491,1,67%,2,9,86.8%,387,40,19,13,7,10,2,71%,29/41,Wests Tigers vs Broncos,Wests Tigers,2018
1,51%,30:47,197,"1,748",585,2,40,42.6,229,3.52s,11,418,216,17,19,521,2,88%,3,5,90.8%,387,23,16,10,9,10,2,73%,30/41,Wests Tigers vs Broncos,Broncos,2018
