,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,27:55,196,"1,924",751,3,40,46.9,178,3.1s,11,435,218,7,25,872,1,75%,0,8,4,87.9%,435,37,2,23,8,4,10,83%,34/41,Broncos vs Warriors,Broncos,2019
1,58%,38:34,265,"2,443",719,5,37,55.5,307,3.64s,19,513,279,6,15,424,0,73%,1,6,1,87%,415,40,0,22,18,2,10,64%,28/44,Broncos vs Warriors,Warriors,2019
