,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,23:31,184,"1,586",527,6,20,40.7,126,3.57s,7,390,210,23,17,495,73%,3,4,93.7%,283,11,8,6,1,82%,32/39,Bulldogs vs Sea Eagles,Bulldogs,2015
1,51%,24:28,147,"1,376",475,1,11,38.2,208,3.57s,5,347,187,25,19,429,70%,5,3,91.2%,323,20,11,7,0,72%,26/36,Bulldogs vs Sea Eagles,Sea Eagles,2015
