,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,23:01,170,"1,654",548,4,31,41.4,225,7,392,211,13,17,421,2,90%,0,2,6,92%,334,21,8,6,70%,28/40,Cowboys vs Warriors,Cowboys,2014
1,57%,30:30,168,"1,591",540,4,21,36.2,213,5,415,222,12,25,707,2,93%,1,6,5,88.4%,291,31,7,9,77%,34/44,Cowboys vs Warriors,Warriors,2014
