,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,28:48,164,"1,578",553,2,30,38.5,173,5,390,210,14,22,523,2,81%,3,4,91.2%,311,22,0,8,4,76%,31/41,Knights vs Storm,Knights,2013
1,44%,22:38,153,"1,317",434,5,22,35.6,140,6,387,204,13,27,687,1,100%,4,5,90.8%,366,30,1,7,10,84%,31/37,Knights vs Storm,Storm,2013
