,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,23:21,147,"1,368",517,1,9,38,199,3.81s,11,337,187,17,14,256,3,86%,2,5,92.4%,389,23,1,9,5,50%,18/36,Panthers vs Storm,Panthers,2015
1,53%,26:19,178,"1,400",535,2,23,35,146,3.85s,7,409,216,30,25,584,3,100%,3,7,92.4%,315,9,2,17,7,78%,31/40,Panthers vs Storm,Storm,2015
