,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,30:46,192,"1,428",522,1,37,36.6,93,3.54s,10,417,223,43,26,643,1,69%,0,4,7,92.1%,326,22,6,10,4,7,82%,32/39,Rabbitohs vs Storm,Rabbitohs,2017
1,45%,25:10,172,"1,563",547,2,22,39.1,232,3.51s,5,377,198,27,22,521,0,71%,1,5,11,87.7%,371,37,15,12,8,8,75%,30/40,Rabbitohs vs Storm,Storm,2017
