,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,25:53,162,"1,533",530,3,30,40.4,242,3.37s,3,379,217,11,18,442,4,83%,3,8,87%,275,31,0,10,5,10,1,8,84%,32/38,Cowboys vs Broncos,Cowboys,2018
1,45%,21:11,144,"1,441",486,5,31,45.1,179,3.34s,6,304,159,11,13,459,3,83%,0,4,90.5%,324,30,1,4,10,10,0,8,75%,24/32,Cowboys vs Broncos,Broncos,2018
