,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,26:59,181,"1,616",559,2,18,38.5,149,3.47s,10,407,224,7,18,471,3,86%,3,2,90.9%,381,30,8,17,5,1,8,1,60%,25/42,Panthers vs Wests Tigers,Panthers,2019
1,52%,29:13,186,"1,469",539,0,30,36.7,122,3.57s,5,422,228,8,20,556,3,78%,3,8,91.8%,390,18,17,10,5,0,8,1,78%,31/40,Panthers vs Wests Tigers,Wests Tigers,2019
