,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,21:05,140,"1,230",403,3,38,33.2,142,3.43s,1,299,163,25,11,358,1,55%,1,1,2,90.3%,353,33,5,16,6,1,0,8,2,65%,24/37,Raiders vs Panthers,Raiders,2018
1,58%,29:07,167,"1,397",453,4,33,37.8,193,3.46s,5,394,218,28,21,570,1,60%,0,5,5,87.1%,276,38,3,7,9,0,1,8,0,84%,31/37,Raiders vs Panthers,Panthers,2018
