,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,35%,16:43,157,"1,249",446,4,16,34.7,118,3.73s,11,385,227,18,20,406,3,42%,1,8,87.1%,278,26,0,15,7,1,78%,28/36,Sea Eagles vs Roosters,Sea Eagles,2015
1,65%,31:02,147,"1,496",567,6,26,39.4,206,3.69s,8,345,177,16,23,485,0,91%,9,8,89.3%,293,16,1,19,5,0,87%,33/38,Sea Eagles vs Roosters,Roosters,2015
