,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:05,133,"1,527",479,7,36,47.7,143,10,353,188,2,20,494,2,93%,4,5,92.4%,367,17,13,4,81%,26/32,Dragons vs Cowboys,Dragons,2014
1,51%,25:05,161,"1,548",577,7,17,45.5,190,7,414,233,10,20,443,5,92%,6,3,85.2%,276,36,12,3,74%,25/34,Dragons vs Cowboys,Cowboys,2014
