,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,22:50,145,"1,140",333,1,27,31.7,159,3.55s,9,324,164,5,21,458,1,80%,6,8,89%,341,26,16,14,11,8,64%,23/36,Titans vs Raiders,Titans,2019
1,55%,27:55,158,"1,365",425,1,26,29.7,234,3.8s,8,358,175,16,23,740,4,59%,5,5,87.6%,290,27,14,12,6,7,74%,34/46,Titans vs Raiders,Raiders,2019
