,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,28:27,169,"1,544",569,4,34,42.9,167,3.45s,6,384,206,34,22,544,1,90%,7,7,88.4%,311,31,10,7,8,0,8,2,89%,32/36,Broncos vs Raiders,Broncos,2018
1,44%,22:21,153,"1,463",565,2,31,43,186,3.28s,6,334,171,37,17,434,2,80%,3,5,88.5%,323,34,8,11,8,1,8,0,76%,26/34,Broncos vs Raiders,Raiders,2018
