,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,29:35,191,"1,701",442,5,36,42.5,209,3.61s,11,419,220,11,25,720,0,85%,5,2,89.9%,319,11,0,25,8,5,8,85%,34/40,Dragons vs Bulldogs,Dragons,2019
1,47%,26:14,165,"1,404",340,2,11,38,184,3.41s,12,376,207,11,20,529,3,83%,9,4,87.6%,366,36,1,16,12,4,6,73%,27/37,Dragons vs Bulldogs,Bulldogs,2019
