,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,29:18,218,"1,976",703,2,19,43,262,13,542,292,16,28,716,1,93%,6,5,93.9%,338,11,1,11,4,0,78%,36/46,Cowboys vs Storm,Cowboys,2014
1,50%,29:18,147,"1,332",512,1,11,37,120,6,328,157,5,19,662,0,86%,2,2,92.7%,472,19,0,18,7,1,72%,26/36,Cowboys vs Storm,Storm,2014
