,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,21:24,128,"1,116",417,1,29,37.2,98,3.62s,8,306,164,8,18,494,1,83%,6,4,83.7%,304,39,20,8,7,1,8,77%,23/30,Broncos vs Storm,Broncos,2019
1,58%,29:34,194,"1,988",594,10,39,53.7,303,3.69s,13,423,241,33,17,393,5,67%,5,5,88%,285,29,10,11,5,0,7,76%,28/37,Broncos vs Storm,Storm,2019
