,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,35%,18:41,157,"1,475",516,3,17,37.8,171,13,400,224,24,19,334,2,100%,8,4,87.9%,333,35,11,6,67%,26/39,Warriors vs Sharks,Warriors,2013
1,65%,34:42,157,"1,595",602,2,35,43.1,170,7,388,206,14,18,437,2,83%,3,7,91.1%,326,17,15,10,73%,27/37,Warriors vs Sharks,Sharks,2013
