,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,26:27,164,"1,549",440,4,32,43,135,3.6s,5,378,215,24,17,302,3,78%,2,8,82.1%,262,39,18,7,7,7,75%,27/36,Sea Eagles vs Panthers,Sea Eagles,2016
1,45%,21:38,158,"1,410",357,5,39,44.1,123,3.51s,15,329,175,28,14,343,0,69%,3,6,88.9%,328,32,9,4,7,8,84%,27/32,Sea Eagles vs Panthers,Panthers,2016
