,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,21:10,154,"1,308",459,3,23,33.6,110,3.51s,5,350,191,23,22,573,4,90%,1,9,84.4%,297,35,20,7,77%,30/39,Titans vs Eels,Titans,2015
1,57%,28:03,168,"1,557",575,4,35,43.3,199,3.84s,12,393,223,22,15,392,1,62%,5,3,90.3%,306,23,10,8,72%,26/36,Titans vs Eels,Eels,2015
