,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:36,163,"1,605",527,9,17,39.2,234,13,376,201,6,24,564,1,93%,1,0,9,92%,242,15,0,6,1,78%,32/41,Sea Eagles vs Raiders,Sea Eagles,2014
1,48%,22:43,120,"1,267",378,3,15,42.2,144,4,309,167,7,17,534,1,89%,0,4,1,90.5%,335,17,3,18,6,73%,22/30,Sea Eagles vs Raiders,Raiders,2014
