,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:58,196,"1,789",656,3,26,38.1,211,3.74s,6,438,222,28,27,892,3,83%,1,3,5,92.9%,404,15,16,5,77%,36/47,Storm vs Cowboys,Storm,2015
1,49%,27:49,209,"1,742",665,0,15,40.5,222,3.75s,9,464,253,15,26,649,3,80%,0,4,4,92.9%,433,26,7,7,72%,31/43,Storm vs Cowboys,Cowboys,2015
