,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,24:19,144,"1,284",434,2,20,32.9,185,10,346,182,13,21,419,2,69%,3,8,89.8%,334,29,1,9,7,67%,26/39,Raiders vs Bulldogs,Raiders,2013
1,49%,23:22,163,"1,461",489,6,29,36.5,172,9,380,203,17,20,451,1,85%,3,5,89.5%,280,20,0,13,10,68%,27/40,Raiders vs Bulldogs,Bulldogs,2013
