,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:35,164,"1,506",516,5,40,39.7,114,3.7s,7,360,189,15,16,444,82%,2,5,83.5%,380,33,0,42,5,82%,31/38,Knights vs Panthers,Knights,2015
1,49%,27:27,229,"1,717",581,5,33,42.9,100,3.98s,30,485,274,56,15,371,25%,3,3,87.1%,345,40,1,11,11,78%,31/40,Knights vs Panthers,Panthers,2015
