,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,26:49,176,"1,200",374,4,25,30,84,3.93s,8,417,232,14,18,578,0,75%,4,3,89.6%,336,28,0,11,11,4,1,8,0,72%,29/40,Eels vs Cowboys,Eels,2016
1,49%,25:45,163,"1,276",393,5,28,33.6,152,3.52s,6,399,220,18,16,465,1,88%,3,2,89.4%,372,25,1,19,14,10,1,7,2,63%,24/38,Eels vs Cowboys,Cowboys,2016
