,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,36%,16:32,124,"1,200",360,2,13,35.3,122,5,309,166,14,16,487,0,80%,0,2,4,87.2%,286,30,0,12,5,0,62%,21/34,Titans vs Panthers,Titans,2013
1,64%,29:23,150,"1,482",431,6,30,39,208,8,406,231,9,18,472,1,64%,1,2,6,91.8%,257,13,1,10,6,2,66%,25/38,Titans vs Panthers,Panthers,2013
