,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,29:59,212,"1,929",450,4,33,45.9,256,3.6s,17,467,247,4,27,734,2,71%,7,7,83%,322,41,25,7,6,8,0,88%,37/42,Eels vs Broncos,Eels,2019
1,48%,27:41,178,"1,456",363,4,41,41.6,177,3.16s,13,391,213,1,19,560,1,62%,5,4,86.1%,371,33,27,10,5,8,2,77%,27/35,Eels vs Broncos,Broncos,2019
