,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:18,183,"1,642",472,2,8,42.1,116,3.4s,4,404,237,1,18,460,3,64%,6,3,86.9%,332,38,1,12,10,4,8,74%,29/39,Bulldogs vs Knights,Bulldogs,2019
1,49%,27:12,180,"1,604",493,4,38,47.2,154,3.3s,7,396,214,0,22,492,2,70%,5,5,95.7%,354,8,0,8,9,8,7,82%,28/34,Bulldogs vs Knights,Knights,2019
