,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:29,172,"1,631",511,6,45,48,107,3.48s,9,342,182,13,13,325,1,83%,3,1,84.1%,280,23,1,30,9,10,0,8,76%,26/34,Raiders vs Warriors,Raiders,2018
1,51%,27:34,178,"1,739",526,4,23,49.7,145,3.56s,17,368,215,19,13,310,1,75%,3,1,84.5%,321,45,0,14,9,10,1,8,80%,28/35,Raiders vs Warriors,Warriors,2018
