,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,22:19,177,"1,445",513,2,25,36.1,155,16,418,240,14,16,460,3,79%,3,5,90.5%,314,21,12,7,1,68%,27/40,Sharks vs Raiders,Sharks,2014
1,51%,23:14,152,"1,624",599,4,21,41.7,251,10,371,195,11,21,431,2,93%,5,6,86%,307,25,25,7,0,67%,26/39,Sharks vs Raiders,Raiders,2014
