,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,63%,33:20,185,"1,783",573,5,48,40.5,268,3.34s,10,408,222,26,21,517,1,92%,2,4,92.6%,338,17,10,10,2,0,70%,31/44,Roosters vs Rabbitohs,Roosters,2015
1,37%,19:35,170,"1,367",478,0,17,34.2,132,3.81s,7,392,217,39,20,490,3,73%,1,8,84.8%,351,48,15,9,0,1,72%,29/40,Roosters vs Rabbitohs,Rabbitohs,2015
