,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:00,158,"1,416",571,5,22,33.7,175,6,381,202,21,23,713,1,90%,0,2,6,86.4%,273,31,12,5,81%,34/42,Wests Tigers vs Eels,Wests Tigers,2013
1,50%,25:00,146,"1,290",524,5,31,34.9,217,6,338,184,15,15,557,1,79%,1,4,4,90.7%,323,22,11,8,65%,24/37,Wests Tigers vs Eels,Eels,2013
