,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,28:52,195,"1,797",614,4,26,47.3,256,3.82s,9,450,238,36,28,656,4,86%,4,6,91.1%,278,10,17,3,89%,34/38,Cowboys vs Broncos,Cowboys,2015
1,41%,20:04,150,"1,299",473,6,10,43.3,202,3.33s,12,319,158,17,19,563,0,69%,5,0,90.9%,370,26,11,4,83%,25/30,Cowboys vs Broncos,Broncos,2015
