,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,28:17,181,"1,533",444,2,28,38.3,229,3.41s,10,403,229,29,16,295,3,56%,2,7,88.1%,311,24,0,18,11,7,0,8,70%,28/40,Eels vs Warriors,Eels,2018
1,45%,23:09,149,"1,175",366,4,24,33.6,89,3.34s,13,341,178,19,20,538,1,100%,4,4,89.4%,363,28,1,15,8,11,1,8,77%,27/35,Eels vs Warriors,Warriors,2018
