,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,17:05,168,"1,496",521,2,45,37.4,280,13,377,207,23,15,323,1,94%,0,3,3,93.7%,326,18,0,4,10,62%,25/40,Rabbitohs vs Raiders,Rabbitohs,2014
1,57%,22:39,154,"1,333",474,4,18,32.5,135,3,383,210,8,22,836,0,100%,1,2,3,82.8%,299,45,1,17,10,90%,37/41,Rabbitohs vs Raiders,Raiders,2014
