,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:11,183,"1,575",428,6,39,42.6,131,3.38s,6,373,203,19,21,569,0,60%,2,7,83.4%,292,33,1,25,5,9,1,8,86%,32/37,Storm vs Raiders,Storm,2017
1,50%,26:11,177,"1,587",508,1,33,46.7,179,3.49s,15,356,197,20,16,298,1,78%,0,6,84.8%,274,39,0,10,14,8,1,7,71%,24/34,Storm vs Raiders,Raiders,2017
