,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,27:14,178,"1,575",497,5,32,38.4,205,3.96s,12,400,207,21,23,702,2,92%,3,4,89.9%,365,26,0,15,7,4,8,2,80%,33/41,Eels vs Bulldogs,Eels,2016
1,52%,29:30,189,"1,642",645,2,26,46.9,190,3.64s,12,416,221,17,21,568,1,89%,9,3,88.2%,381,32,1,19,6,6,7,2,80%,28/35,Eels vs Bulldogs,Bulldogs,2016
