,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:12,173,"1,725",442,6,40,46.6,214,3.35s,16,369,204,9,14,341,1,56%,1,6,81.7%,267,27,2,33,7,7,8,84%,31/37,Sea Eagles vs Warriors,Sea Eagles,2019
1,48%,24:11,162,"1,468",390,4,27,50.6,173,3.09s,21,359,197,11,17,338,3,80%,4,7,82.7%,306,40,0,24,9,7,7,83%,24/29,Sea Eagles vs Warriors,Warriors,2019
