,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,64%,36:32,219,"2,057",666,8,50,45.7,267,3.85s,12,490,274,19,20,432,5,86%,7,6,87.5%,258,19,18,11,2,0,8,0,76%,34/45,Sea Eagles vs Wests Tigers,Sea Eagles,2019
1,36%,20:33,154,"1,366",416,4,19,45.6,133,3.43s,9,334,172,9,20,609,0,100%,3,2,85.9%,428,50,20,10,8,1,8,1,80%,24/30,Sea Eagles vs Wests Tigers,Wests Tigers,2019
