,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,24:22,174,"1,472",584,3,20,38.7,100,4.15s,8,402,209,20,23,581,71%,2,5,89%,323,21,1,19,8,2,1,82%,31/38,Bulldogs vs Panthers,Bulldogs,2015
1,57%,32:18,180,"1,739",575,3,21,43.5,156,4s,16,424,237,42,23,432,62%,6,5,92.1%,384,20,0,13,7,1,0,68%,27/40,Bulldogs vs Panthers,Panthers,2015
