,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,30:04,199,"1,921",519,8,62,50.6,207,3.7s,23,434,240,22,16,391,3,100%,2,7,88.2%,246,19,0,14,7,7,8,82%,31/38,Panthers vs Warriors,Panthers,2018
1,43%,22:40,140,"1,153",309,1,19,39.8,119,3.61s,12,299,165,23,11,321,1,80%,3,3,78.8%,341,62,1,30,10,10,8,69%,20/29,Panthers vs Warriors,Warriors,2018
