,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:40,174,"1,634",477,7,37,44.2,200,3.51s,16,384,199,26,22,574,1,100%,4,4,87%,315,39,1,8,7,6,8,1,86%,32/37,Titans vs Eels,Titans,2016
1,48%,22:46,150,"1,473",467,4,39,43.3,181,3.37s,5,358,203,31,14,239,1,57%,3,7,84.2%,315,37,1,22,10,8,8,0,74%,25/34,Titans vs Eels,Eels,2016
