,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:30,151,"1,279",419,5,40,37.6,175,3.7s,10,338,172,28,14,388,3,64%,3,4,90.3%,352,29,9,10,9,7,79%,27/34,Knights vs Panthers,Knights,2018
1,51%,26:32,171,"1,519",550,2,29,41.1,173,3.39s,8,378,201,23,18,421,2,100%,4,6,85.2%,300,40,12,5,10,8,84%,31/37,Knights vs Panthers,Panthers,2018
