,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,20:39,177,"1,738",588,6,20,44.6,241,10,463,260,8,27,555,3,70%,2,12,91.2%,250,16,8,3,0,95%,37/39,Cowboys vs Roosters,Cowboys,2014
1,58%,28:31,121,"1,107",338,3,16,35.7,152,6,284,143,2,14,381,0,90%,3,4,92.9%,382,20,9,8,1,61%,19/31,Cowboys vs Roosters,Roosters,2014
