,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,27:35,173,"1,637",615,4,29,46.8,175,4.06s,9,388,216,29,18,407,5,60%,4,7,80.2%,263,38,2,27,11,8,8,77%,27/35,Sharks vs Rabbitohs,Sharks,2017
1,47%,24:27,152,"1,277",480,2,38,38.7,83,3.21s,18,337,178,18,15,368,0,67%,5,3,87.7%,314,29,0,15,7,9,8,82%,27/33,Sharks vs Rabbitohs,Rabbitohs,2017
