,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,23:49,171,"1,627",448,4,35,47.9,230,3.57s,13,362,202,28,16,455,2,56%,4,4,83.1%,344,41,29,11,8,7,71%,24/34,Broncos vs Dragons,Broncos,2017
1,55%,29:06,203,"1,633",471,3,41,43,131,3.54s,16,423,229,30,24,621,3,73%,3,7,83.7%,287,35,21,9,2,8,84%,32/38,Broncos vs Dragons,Dragons,2017
